INDEX	DUV	R	G	B
1	0.006	180	16	3
2	0.003	181	13	6
3	0	182	10	9
4	-0.003	182	7	12
5	-0.006	183	3	14
6	0.006	172	26	3
7	0.003	173	21	7
8	0	173	16	11
9	-0.003	175	11	15
10	-0.006	175	6	19
11	0.006	163	35	2
12	0.003	164	30	6
13	0	165	24	10
14	-0.003	166	19	15
15	-0.006	168	14	19
16	0.006	155	42	3
17	0.003	156	36	7
18	0	158	31	12
19	-0.003	159	25	16
20	-0.006	160	20	20
21	0.006	147	50	3
22	0.003	149	44	7
23	0	150	38	12
24	-0.003	152	32	16
25	-0.006	153	27	20
26	0.006	140	58	3
27	0.003	141	52	7
28	0	143	45	12
29	-0.003	145	39	16
30	-0.006	146	33	21
31	0.006	132	65	3
32	0.003	134	58	7
33	0	136	52	12
34	-0.003	138	46	17
35	-0.006	139	39	21
36	0.006	125	72	3
37	0.003	127	65	8
38	0	129	58	13
39	-0.003	131	52	17
40	-0.006	133	45	22
41	0.006	118	80	2
42	0.003	120	73	7
43	0	122	66	12
44	-0.003	125	59	16
45	-0.006	127	52	21
46	0.006	111	86	2
47	0.003	114	79	7
48	0	116	71	12
49	-0.003	119	64	17
50	-0.006	121	57	22
51	0.006	105	92	3
52	0.003	108	84	8
53	0	110	77	13
54	-0.003	113	69	18
55	-0.006	116	62	23
56	0.006	98	100	2
57	0.003	101	92	7
58	0	104	84	12
59	-0.003	107	76	17
60	-0.006	109	69	22
61	0.006	93	102	5
62	0.003	96	94	10
63	0	99	86	15
64	-0.003	102	78	20
65	-0.006	105	70	25
66	0.006	89	103	8
67	0.003	92	95	13
68	0	95	87	18
69	-0.003	98	79	23
70	-0.006	101	72	27
71	0.006	85	105	11
72	0.003	88	97	16
73	0	91	89	21
74	-0.003	94	80	25
75	-0.006	97	73	30
76	0.006	81	106	14
77	0.003	84	97	19
78	0	87	89	23
79	-0.003	91	81	28
80	-0.006	94	73	33
81	0.006	77	107	16
82	0.003	81	98	21
83	0	84	90	26
84	-0.003	88	82	31
85	-0.006	91	74	36
86	0.006	74	107	19
87	0.003	77	98	24
88	0	81	90	29
89	-0.003	85	82	34
90	-0.006	88	74	38
91	0.006	70	107	22
92	0.003	74	99	27
93	0	78	90	32
94	-0.003	82	82	37
95	-0.006	85	74	41
96	0.006	67	107	26
97	0.003	71	98	30
98	0	75	90	35
99	-0.003	79	82	39
100	-0.006	83	73	44
101	0.006	65	107	29
102	0.003	69	98	33
103	0	73	90	38
104	-0.003	77	81	42
105	-0.006	80	73	47
106	0.006	62	107	32
107	0.003	66	98	36
108	0	70	89	41
109	-0.003	74	81	45
110	-0.006	78	73	49
111	0.006	60	106	35
112	0.003	64	97	39
113	0	68	88	43
114	-0.003	72	80	48
115	-0.006	76	72	52
116	0.006	57	105	38
117	0.003	62	96	42
118	0	66	88	46
119	-0.003	70	79	50
120	-0.006	75	71	55
121	0.006	55	104	40
122	0.003	60	95	45
123	0	64	87	49
124	-0.003	69	78	53
125	-0.006	73	70	57
126	0.006	53	103	43
127	0.003	58	95	48
128	0	63	86	52
129	-0.003	67	78	56
130	-0.006	71	69	60
131	0.006	52	102	46
132	0.003	56	93	50
133	0	61	85	54
134	-0.003	65	76	58
135	-0.006	70	68	62
136	0.006	50	101	49
137	0.003	55	92	53
138	0	59	84	57
139	-0.003	64	75	61
140	-0.006	68	67	64
141	0.006	48	100	52
142	0.003	53	91	56
143	0	58	83	59
144	-0.003	63	74	63
145	-0.006	67	66	67
146	0.006	47	99	54
147	0.003	52	90	58
148	0	57	81	62
149	-0.003	61	73	66
150	-0.006	66	65	69
151	0.006	46	97	57
152	0.003	51	89	61
153	0	56	80	64
154	-0.003	60	72	68
155	-0.006	65	64	71
156	0.006	44	96	60
157	0.003	49	87	63
158	0	54	79	67
159	-0.003	59	71	70
160	-0.006	64	63	74
161	0.006	43	95	62
162	0.003	48	86	66
163	0	53	78	69
164	-0.003	58	70	72
165	-0.006	63	62	76
166	0.006	42	93	65
167	0.003	47	85	68
168	0	52	76	71
169	-0.003	57	68	75
170	-0.006	62	60	78
171	0.006	41	92	67
172	0.003	46	83	70
173	0	52	75	74
174	-0.003	56	67	77
175	-0.006	61	59	80
176	0.006	40	91	69
177	0.003	45	82	73
178	0	51	74	76
179	-0.003	56	66	79
180	-0.006	60	58	82
181	0.006	39	89	72
182	0.003	45	80	75
183	0	50	72	78
184	-0.003	55	64	81
185	-0.006	60	57	84
186	0.006	39	87	74
187	0.003	44	79	77
188	0	49	71	80
189	-0.003	54	63	83
190	-0.006	59	55	86
191	0.006	38	86	76
192	0.003	43	78	79
193	0	49	70	82
194	-0.003	54	62	85
195	-0.006	59	54	87
196	0.006	37	85	78
197	0.003	43	76	81
198	0	48	68	84
199	-0.003	53	60	87
200	-0.006	58	53	89
201	0.006	36	83	80
202	0.003	42	75	83
203	0	47	67	86
204	-0.003	52	59	88
205	-0.006	57	52	91
206	0.006	36	82	82
207	0.003	41	74	85
208	0	47	66	88
209	-0.003	52	58	90
210	-0.006	57	50	93
211	0.006	35	80	84
212	0.003	41	72	87
213	0	46	64	90
214	-0.003	51	57	92
215	-0.006	57	49	94
216	0.006	35	79	86
217	0.003	40	71	89
218	0	46	63	91
219	-0.003	51	55	94
220	-0.006	56	48	96
221	0.006	34	77	88
222	0.003	40	69	91
223	0	45	62	93
224	-0.003	51	54	95
225	-0.006	56	47	98
226	0.006	34	76	90
227	0.003	40	68	92
228	0	45	60	95
229	-0.003	50	53	97
230	-0.006	55	46	99
231	0.006	34	75	92
232	0.003	39	67	94
233	0	45	59	96
234	-0.003	50	52	98
235	-0.006	55	44	101
236	0.006	33	73	94
237	0.003	39	66	96
238	0	44	58	98
239	-0.003	50	50	100
240	-0.006	55	43	102
241	0.006	33	72	95
242	0.003	39	64	97
243	0	44	57	99
244	-0.003	49	49	102
245	-0.006	54	42	103
246	0.006	32	71	97
247	0.003	38	63	99
248	0	44	55	101
249	-0.003	49	48	103
250	-0.006	54	41	105
251	0.006	31	64	104
252	0.003	37	57	106
253	0	43	50	108
254	-0.003	48	43	110
255	-0.006	53	36	111
256	0.006	30	59	111
257	0.003	36	51	113
258	0	42	44	114
259	-0.003	47	38	116
260	-0.006	52	31	117
261	0.006	30	53	117
262	0.003	35	46	118
263	0	41	39	120
264	-0.003	47	33	121
265	-0.006	52	26	122
266	0.006	29	48	122
267	0.003	35	42	123
268	0	41	35	124
269	-0.003	46	28	125
270	-0.006	52	22	126
271	0.006	29	44	127
272	0.003	35	37	128
273	0	41	31	129
274	-0.003	46	25	130
275	-0.006	51	18	130
276	0.006	29	40	131
277	0.003	35	33	132
278	0	41	27	132
279	-0.003	46	21	134
280	-0.006	51	15	134
281	0.006	29	36	135
282	0.003	35	30	135
283	0	40	24	136
284	-0.003	46	18	136
285	-0.006	51	12	137
286	0.006	29	33	138
287	0.003	35	27	139
288	0	41	21	139
289	-0.003	46	15	139
290	-0.006	51	9	140
291	0.006	29	30	141
292	0.003	35	24	142
293	0	41	18	142
294	-0.003	46	12	142
295	-0.006	51	6	142
296	0.006	30	27	144
297	0.003	35	21	144
298	0	41	15	144
299	-0.003	46	9	145
300	-0.006	51	4	145
301	0.006	29	24	146
302	0.003	35	18	146
303	0	41	13	146
304	-0.003	46	7	147
305	-0.006	51	2	147
